Temperature,Humidity,WindSpeed,Pressure,Visibility,Precipitation,CloudCover,DewPoint
27.48,72.3,17.44,1001.97,8.42,15.85,78,15.2
24.31,68.54,0.58,991.47,6.58,18.16,19,21.0
28.24,57.8,16.52,1016.89,6.1,18.87,63,13.54
32.62,89.33,2.58,1037.93,4.35,19.2,92,23.14
23.83,70.29,6.7,1012.94,9.45,10.43,92,22.52
23.83,51.86,14.87,1021.38,5.18,19.55,66,14.72
32.9,45.09,3.22,1013.82,2.7,15.15,82,20.21
28.84,47.64,16.36,1012.01,6.94,3.23,2,18.03
22.65,52.3,16.64,1022.19,2.91,9.54,53,14.73
27.71,48.03,10.15,1010.1,4.76,14.37,77,23.84
22.68,49.33,0.13,1015.67,6.06,4.95,63,10.35
22.67,54.25,5.74,1016.22,8.99,12.81,39,13.54
26.21,48.67,12.34,1006.32,5.95,13.33,58,17.28
15.43,84.84,19.62,1022.92,7.62,3.25,54,17.31
16.38,44.01,12.64,1011.25,9.94,11.3,61,18.25
22.19,66.23,5.2,1005.44,3.05,15.43,3,20.52
19.94,60.52,12.68,1018.37,4.2,9.98,59,18.73
26.57,89.12,10.8,1004.02,5.16,0.24,74,18.4
20.46,45.6,15.6,1013.28,5.37,0.18,94,10.75
17.94,59.89,2.14,1012.91,5.29,7.14,95,15.27
32.33,88.47,15.22,1023.86,9.26,18.52,90,13.25
23.87,83.28,10.83,1017.75,7.71,4.57,29,13.72
25.34,80.85,19.26,1012.75,6.86,12.69,1,17.76
17.88,52.9,6.84,1021.18,4.47,4.44,61,12.79
22.28,48.54,12.65,1026.9,8.59,6.43,48,14.12
25.55,73.43,18.64,1018.58,9.64,16.96,8,13.32
19.25,86.47,2.05,1013.1,8.57,14.58,91,23.28
26.88,67.84,18.74,999.88,2.01,1.91,30,23.23
22.0,68.58,13.76,1002.35,7.09,8.57,97,18.54
23.54,54.0,1.36,1009.95,2.41,0.58,60,22.94
21.99,78.47,6.02,1006.9,4.06,9.62,78,21.0
34.26,49.35,14.16,1011.13,2.48,13.25,47,18.26
24.93,56.18,1.35,1013.57,6.83,2.37,24,10.09
19.71,61.27,11.64,1018.3,7.49,5.78,35,20.82
29.11,65.38,6.92,1012.3,2.92,7.96,7,19.83
18.9,52.12,12.42,1017.87,5.07,18.39,72,18.61
26.04,45.74,0.91,1013.64,5.65,19.87,57,20.65
15.2,70.53,17.43,993.25,4.95,0.9,44,17.18
18.36,54.43,19.47,1003.61,2.97,15.22,61,19.86
25.98,69.06,19.38,1011.56,5.35,7.43,38,23.09
28.69,47.72,14.99,1000.9,8.01,7.85,95,15.26
25.86,64.06,2.6,1019.0,2.57,15.09,57,19.91
24.42,66.63,15.17,1028.31,2.64,18.37,80,16.66
23.49,42.59,0.49,1025.19,4.84,19.02,98,19.44
17.61,56.83,0.44,1010.87,9.53,11.54,82,20.68
21.4,46.72,6.47,1027.91,7.35,7.14,63,10.64
22.7,43.17,9.77,1014.49,7.43,15.75,43,19.05
30.29,89.5,15.41,1009.63,4.9,5.02,28,13.17
26.72,56.12,13.67,1006.87,6.75,11.28,58,19.38
16.18,80.49,8.92,1009.98,2.08,7.17,70,16.56
26.62,52.73,5.47,1009.12,7.09,13.13,91,20.83
23.07,74.08,19.94,1014.7,9.31,4.81,8,11.73
21.62,78.01,8.52,1014.61,6.9,3.83,91,18.77
28.06,69.78,9.03,1013.03,8.99,18.36,5,13.9
30.15,63.58,3.27,1017.37,7.79,2.04,28,21.94
29.66,60.59,15.9,1024.91,2.96,10.12,57,23.0
20.8,57.44,13.87,1022.5,9.22,4.42,16,23.95
23.45,86.48,4.42,998.15,2.53,0.78,15,21.14
26.66,81.53,1.65,987.46,6.27,0.72,86,20.55
29.88,88.25,13.61,1022.34,3.14,3.5,94,13.02
22.6,46.21,13.09,999.33,2.09,17.34,2,14.7
24.07,76.54,5.47,1010.75,5.38,5.65,20,16.52
19.47,86.92,19.02,1001.3,4.36,19.01,63,20.83
19.02,49.06,3.02,994.98,5.89,11.63,89,22.81
29.06,43.32,8.65,1018.41,6.62,8.73,35,12.65
31.78,77.06,18.87,1020.59,2.35,11.6,85,22.91
24.64,68.72,8.39,1007.23,2.98,10.33,61,19.74
30.02,82.09,12.77,987.09,6.47,15.18,41,18.55
26.81,46.99,7.95,1007.54,4.75,5.65,75,12.8
21.77,79.76,5.48,1016.92,7.83,7.06,41,10.78
26.81,50.08,19.68,998.21,7.22,17.88,60,17.96
32.69,48.18,8.19,1014.83,8.76,18.93,12,19.12
24.82,48.21,17.88,1012.85,7.54,17.85,10,12.95
32.82,80.73,4.6,1018.79,5.44,8.39,53,17.79
11.9,73.26,4.26,1014.2,7.38,15.61,15,21.99
29.11,66.15,0.62,1003.27,4.2,9.53,7,21.69
